filem_name,tomatometerscore,audiencescore,reviews_numb,ratings_numb,rating,genre,language,director,producer,writer,release_date_theaters,release_date_streaming,box_office,runtime,distributor,aspect_ratio,actors
Alpha,80,71,133,"2,500+",PG-13 (Some Intense Peril),"Adventure, Drama",English,Albert Hughes,"Andrew Rona, Albert Hughes",Dan Wiedenhaupt,"Aug 17, 2018  Wide","Mar 17, 2018",$35.9M,1h 37m,"Columbia Pictures, Sony Pictures Entertainment",,"Kodi Smit-McPhee,Jóhannes Haukur Jóhannesson,Marcin Kowalczyk,Jens Hultén,Natassia Malthe,Spencer Bogaert,Mercedes de la Zerda,Leonor Varela,Albert Hughes,Dan Wiedenhaupt,"
Mile 22,23,44,192,"2,500+",R (Strong Violence|Language Throughout),"Mystery & Thriller, Action",English,Peter Berg,Peter Berg,Lea Carpenter,"Aug 17, 2018  Wide","Oct 30, 2018",$36.1M,1h 35m,STX Films,,"Mark Wahlberg,Lauren Cohan,Iko Uwais,John Malkovich,Ronda Rousey,Carlo Alban,Natasha Goubskaya,CL,Sam Medina,Keith Arthur Bolden,"
The Wife,86,77,229,"1,000+",R (Some Sexual Content|Language),Drama,English,Björn Runge,"Piers Tempest, Rosalie Swedlin, Meta Louise Foldager, Claudia Bluemhuber, Peter Gustafsson",Jane Anderson,"Aug 17, 2018  Limited","Jan 25, 2019",$9.6M,1h 40m,Sony Pictures Classics,,"Glenn Close,Jonathan Pryce,Christian Slater,Annie Starke,Harry Lloyd,Max Irons,Alix Wilton Regan,Karin Franz Körlof,Michael Benz,Twinnie-Lee Moore,"
Billionaire Boys Club,,,,,,,,,,,,,,,,,
"Juliet, Naked",83,75,167,"1,000+",R (Language),"Romance, Music, Comedy",English,Jesse Peretz,"Judd Apatow, Barry Mendel, Albert Berger, Ron Yerxa, Jeffrey Soros","Evgenia Peretz, Jim Taylor, Tamara Jenkins","Aug 17, 2018  Limited","Nov 13, 2018",$3.4M,1h 45m,"Roadside Attractions, Lionsgate Films",,"Ethan Hawke,Rose Byrne,Chris O'Dowd,Megan Dodds,Lily Newmark,Lily Brazier,Azhy Robertson,Ayoola Smart,Enzo Cilenti,Pamela Lyne,"
Down a Dark Hall,48,19,27,250+,PG-13 (Smoking|Mature Thematic Content|A Sexual Reference|Some Language|Terror and Violence),"Mystery & Thriller, Horror",English,Rodrigo Cortés,"Stephenie Meyer, Wyck Godfrey, Marty Bowen, Meghan Hibbett, Adrián Guerra","Michael Goldbach, Chris Sparling","Aug 17, 2018  Limited","Oct 16, 2018",,1h 36m,"Lionsgate Premiere, Summit Entertainment",,"AnnaSophia Robb,Uma Thurman,Isabelle Fuhrman,Rosie Day,Taylor Russell,Kirsty Mitchell,Rebecca Front,Victoria Moroles,Noah Silver,Jim Sturgeon,"
To All the Boys I've Loved Before,96,85,70,"2,500+",TV14,"Drama, Romance",English,Susan Johnson,"Dougie Cash, Matthew Kaplan, James Lassiter, Brian Robbins, Will Smith",Sofía Álvarez,,"Aug 17, 2018",,1h 39m,,,
The Happytime Murders,23,39,248,"2,500+",R (Some Drug Material|Language Throughout|Strong Crude & Sexual Content),"Mystery & Thriller, Comedy",English,Brian Henson,"Brian Henson, Jeffrey Hayes, Melissa McCarthy, Ben Falcone",Todd Berger,"Aug 24, 2018  Wide","Nov 20, 2018",$20.7M,1h 31m,STX Films,,"Melissa McCarthy,Elizabeth Banks,Maya Rudolph,Leslie David Baker,Joel McHale,Cynthy Wu,Michael McDonald,Mitch Silpa,Hemky Madera,Benjamin Royer,"
Searching,92,87,256,"5,000+",PG-13 (Some Drug References|Language|Some Sexual References|Thematic Content),Mystery & Thriller,English,Aneesh Chaganty,"Timur Bekmambetov, Sev Ohanian, Adam Sidman, Natalie Qasabian","Aneesh Chaganty, Sev Ohanian","Aug 31, 2018  Wide","Nov 13, 2018",$26.0M,1h 42m,"Stage 6, Screen Gems, Sony Pictures Entertainment",,
Papillon,52,66,112,"1,000+",R (Language|Bloody Images|Nudity|Some Sexual Material|Violence),"Biography, Adventure, History, Drama",English,Michael Noer,"Roger Corbi, Joey McFarland, Ram Bergman, David Koplan",Aaron Guzikowski,"Aug 24, 2018  Wide","Oct 30, 2018",$2.3M,2h 13m,Bleecker Street Media,,"Charlie Hunnam,Rami Malek,Roland Møller,Nina Senicar,Tommy Flanagan,Eve Hewson,Christopher Fairbank,Brian Vernel,Michael Noer,Aaron Guzikowski,"
A.X.L.,,,,,,,,,,,,,,,,,
Operation Finale,61,64,135,"1,000+",PG-13 (Disturbing Thematic Content|Violent Images|Some Language),"Mystery & Thriller, History, Drama",English,Chris Weitz,"Oscar Isaac, Brian Kavanaugh-Jones, Fred Berger, Jason Spire",Matthew Orton,"Aug 29, 2018  Wide","Nov 20, 2018",$17.6M,2h 2m,Metro-Goldwyn-Mayer,,"Oscar Isaac,Ben Kingsley,Mélanie Laurent,Lior Raz,Nick Kroll,Michael Aronov,Ohad Knoller,Greg Hill,Torben Liebrecht,Michael Benjamin Hernandez,"
Kin,35,53,96,500+,PG-13 (Gun Violence|Drinking|Thematic Elements|Intense Action|Language|Suggestive Material),"Action, Mystery & Thriller, Sci-Fi",English,"Jonathan Baker, Josh Baker","Jeff Arkuss, David Gross, Jesse Shapira, Shawn Levy, Dan Cohen",Daniel Casey,"Aug 31, 2018  Wide","Nov 20, 2018",$5.7M,1h 42m,"Lionsgate Films, Summit Entertainment",,"Myles Truitt,Jack Reynor,Zoë Kravitz,Carrie Coon,Romano Orzari,Ian Matthews,Dennis Quaid,James Franco,Gavin Fox,Stephane Garneau-Monten,"
The Little Stranger,65,34,141,500+,R (Some Disturbing Bloody Images),"Mystery & Thriller, Horror",English (United Kingdom),Lenny Abrahamson,"Gail Egan, Andrea Calderwood, Ed Guiney",Lucinda Coxon,"Aug 31, 2018  Wide","Nov 13, 2018",$675.4K,1h 51m,Focus Features,,
Destination Wedding,51,58,86,500+,R (Sexual Content|Language Throughout),"Romance, Comedy",English,Victor Levin,"Gail Lyon, Elizabeth Dell, Robert Jones",Victor Levin,"Aug 31, 2018  Limited","Sep 7, 2018",,1h 26m,Regatta,,"Keanu Reeves,Winona Ryder,DJ Dallenbach,Ted Dubost,D. Rosh Wright,Greg Lucey,Donna Lynn Jones,Curt Dubost,Victor Levin,Victor Levin,"
The Nun,24,35,205,"5,000+",R (Terror|Disturbing/Bloody Images|Violence),"Mystery & Thriller, Horror",English,Corin Hardy,"James Wan, Peter Safran",Gary Dauberman,"Sep 7, 2018  Wide","Nov 20, 2018",$117.4M,1h 36m,Warner Bros. Pictures,,"Demián Bichir,Taissa Farmiga,Jonas Bloquet,Bonnie Aarons,Ingrid Bisu,Charlotte Hope,Sandra Teles,Maria Obretin,August Maturo,Jack Falk,"
Peppermint,13,70,152,"2,500+",R (Strong Violence|Language Throughout),"Mystery & Thriller, Action",English,Pierre Morel,"Tom Rosenberg, Gary Lucchesi, Richard S. Wright, Eric Reid",Chad St. John,"Sep 7, 2018  Wide","Nov 20, 2018",$35.4M,1h 42m,STX Films,,"Jennifer Garner,John Gallagher Jr.,John Ortiz,Juan Pablo Raba,Annie Ilonzeh,Jeff Hephner,Cailey Fleming,Eddie Shin,Method Man,Tyson Ritter,"
The Predator,33,33,295,"5,000+",R (Language Throughout|Crude Sexual References|Strong Bloody Violence),"Action, Adventure, Sci-Fi, Horror",English,Shane Black,John Davis,"Fred Dekker, Shane Black","Sep 14, 2018  Wide","Nov 27, 2018",$51.0M,1h 46m,20th Century Fox,,"Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Keegan-Michael Key,Olivia Munn,Thomas Jane,Alfie Allen,Sterling K. Brown,Augusto Aguilera,Jake Busey,"
White Boy Rick,57,51,156,"1,000+",R (Drug Content|Brief Nudity|Language Throughout|Some Sexual References|Violence),"Biography, Crime, Drama",English,Yann Demange,"John Lesher, Julie Yorn, Scott Franklin, Darren Aronofsky","Andy Weiss, Logan Miller, Noah Miller","Sep 14, 2018  Wide","Dec 12, 2018",$24.0M,1h 51m,"Sony Pictures Entertainment, Columbia Pictures",,"Matthew McConaughey,Richie Merritt,Bel Powley,Jennifer Jason Leigh,Brian Tyree Henry,Rory Cochrane,RJ Cyler,Jonathan Majors,Eddie Marsan,Taylour Paige,"
A Simple Favor,84,73,257,"5,000+",R (Language Throughout|Drug Use|Sexual Content|Some Graphic Nude Images|Violence),"Mystery & Thriller, Comedy",English,Paul Feig,"Paul Feig, Jessie Henderson",Jessica Sharzer,"Sep 14, 2018  Wide","Dec 18, 2018",$53.5M,1h 57m,Lionsgate Films,,"Anna Kendrick,Blake Lively,Henry Golding,Ian Ho,Joshua Satine,Andrew Rannells,Kelly McCormack,Aparna Nancherla,Rupert Friend,Bashir Salahuddin,"
The Children Act,74,63,112,500+,R (A Sexual Reference),Drama,English (United Kingdom),Richard Eyre,Duncan Kenworthy,Ian McEwan,"Sep 14, 2018  Limited","Sep 11, 2018",$432.5K,1h 45m,A24,,"Emma Thompson,Fionn Whitehead,Stanley Tucci,Ben Chaplin,Anthony Calf,Jason Watkins,Dominic Carter,Eileen Walsh,Rosie Cavaliero,Nicholas Jones,"
Lizzie,66,48,152,500+,R (Nudity|A Scene of Sexuality|Some Language|Violence and Grisly Images),"Mystery & Thriller, History, Drama",English,Craig William Macneill,"Naomi Despres, Liz Destro, Chloë Sevigny",Bryce Kass,"Sep 14, 2018  Limited","Dec 4, 2018",$639.2K,1h 45m,"Saban Films, Roadside Attractions",,"Chloë Sevigny,Kristen Stewart,Jamey Sheridan,Fiona Shaw,Kim Dickens,Denis O'Hare,Jeff Perry,Jay Huguley,Craig William Macneill,Bryce Kass,"
Unbroken: Path to Redemption,38,76,26,250+,PG-13 (Thematic Content|Disturbing Images),"History, Biography, Drama",English,Harold Cronk,"Matthew Baer, Mike Elliott","Richard Friedenberg, Ken Hixon","Sep 14, 2018  Wide","Nov 27, 2018",$6.2M,1h 38m,Pure Flix Entertainment,,"Samuel Hunt,Merritt Patterson,Bobby Campo,David Sakurai,Vincenzo Amato,Maddalena Ischiale,Gianna Simone,Ali Eagle,Will Graham,Andrew Caldwell,"
Hell House LLC II: The Abaddon Hotel,,,,,,,,,,,,,,,,,
The House with a Clock in Its Walls,,,,,,,,,,,,,,,,,
Life Itself,13,83,153,"1,000+",R (Language|Brief Drug Use|Sexual References|Some Violent Images),"Romance, Drama, Comedy",English,Dan Fogelman,"Marty Bowen, Wyck Godfrey, Aaron Ryder",Dan Fogelman,"Sep 21, 2018  Wide","Dec 22, 2018",$4.1M,1h 58m,Amazon Studios,,"Oscar Isaac,Olivia Wilde,Antonio Banderas,Annette Bening,Mandy Patinkin,Jean Smart,Olivia Cooke,Sergio Peris-Mencheta,Laia Costa,Àlex Monner,"
The Sisters Brothers,87,69,208,"2,500+",R (Language|Disturbing Images|Some Sexual Content|Violence),"Western, Crime, Drama, Comedy",English,Jacques Audiard,"Pascal Caucheteux, Grégoire Sorlat, Michel Merkt, Michael De Luca, Alison Dickey, John C. Reilly","Jacques Audiard, Thomas Bidegain","Oct 19, 2018  Wide","Jan 22, 2019",$3.1M,2h 0m,Annapurna Pictures,,"John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal,Riz Ahmed,Rebecca Root,Allison Tolman,Rutger Hauer,Carol Kane,Patrice Cossoneau,Jacques Audiard,"
Assassination Nation,74,55,137,"1,000+",R (Drug and Alcohol Use|Disturbing Bloody Violence|Menace|Pervasive Language|Strong Sexual Material),"Action, Comedy",English,Sam Levinson,"David S. Goyer, Kevin Turen, Anita Gou, Matthew J. Malek, Manu Gargi, Aaron L. Gilbert",Sam Levinson,"Sep 21, 2018  Wide","Dec 18, 2018",$2.0M,1h 50m,Neon,,"Odessa Young,Suki Waterhouse,Hari Nef,Abra,Bill Skarsgård,Bella Thorne,Joel McHale,Anika Noni Rose,Colman Domingo,Maude Apatow,"
Colette,87,69,228,"1,000+",R (Some Sexuality/Nudity),"Drama, Biography, History",English,Wash Westmoreland,"Elizabeth Karlsen, Stephen Woolley, Pamela Koffler, Christine Vachon, Michel Litvak, Gary Michael Walters","Richard Glatzer, Wash Westmoreland, Rebecca Lenkiewicz","Oct 12, 2018  Wide","Dec 4, 2018",$5.1M,1h 51m,"Bleecker Street Media, 30West",,"Keira Knightley,Dominic West,Denise Gough,Fiona Shaw,Eleanor Tomlinson,Robert Pugh,Ray Panthaki,Julian Wadham,Wash Westmoreland,Richard Glatzer,"
Fahrenheit 11/9,82,60,186,"2,500+",R (Language|Disturbing Material/Images),Documentary,English,Michael Moore,"Carl Deal, Michael Moore",Michael Moore,"Sep 21, 2018  Wide","Dec 18, 2018",$6.3M,2h 8m,Briarcliff Entertainment,,"Michael Moore,Brooke Baldwin,Ashleigh Banfield,Steve Bannon,Joy Behar,Tasha Dixon,X González,Mark Halperin,Michael Moore,Michael Moore,"
Christian Carion,,,,,,,,,,,,,,,,,
"Love, Gilda",88,81,90,250+,,Documentary,English,Lisa Dapolito,"Lisa Dapolito, Bronwyn Berry, Meryl Goldsmith, James Tumminia",,"Sep 21, 2018  Limited","Sep 25, 2018",$624.2K,1h 26m,"Magnolia Pictures, CNN Films",,"Chevy Chase,Bill Hader,Amy Poehler,Maya Rudolph,Martin Short,Melissa McCarthy,Lorne Michaels,Paul Shaffer,Cecily Strong,Laraine Newman,"
My Hero Academia: Two Heroes,,,,,,,,,,,,,,,,,
Smallfoot,76,62,128,"1,000+",PG (Some Action|Rude Humor|Thematic Elements),"Kids & Family, Adventure, Animation, Comedy",English,Karey Kirkpatrick,"Bonne Radford, Glenn Ficarra, John Requa","Karey Kirkpatrick, Clare Sera","Sep 28, 2018  Wide","Dec 4, 2018",$83.2M,1h 36m,Warner Bros. Pictures,,"Channing Tatum,James Corden,Zendaya,Common,LeBron James,Danny DeVito,Gina Rodriguez,Yara Shahidi,Ely Henry,Jimmy Tatro,"
Night School,26,38,144,"1,000+",PG-13 (Language|Crude and Sexual Content|Some Drug References|Violence),Comedy,English,Malcolm D. Lee,"Will Packer, Kevin Hart","Kevin Hart, Harry Ratchford, Joey Wells, Matthew Kellard, Nicholas Stoller, John Hamburg","Sep 28, 2018  Wide","Dec 10, 2018",$77.2M,1h 51m,Universal Pictures,,"Kevin Hart,Tiffany Haddish,Rob Riggle,Taran Killam,Romany Malco,Keith David,Megalyn Echikunwoke,Yvonne Orji,Mary Lynn Rajskub,Ben Schwartz,"
The Old Man & the Gun,93,62,270,"2,500+",PG-13 (Brief Strong Language),"Mystery & Thriller, Drama, Comedy",English,David Lowery,"James D. Stern, Dawn Ostroff, Jeremy Steckler, Anthony Mastromauro, Bill Holderman, Toby Halbrooks, James M. Johnston, Robert Redford",David Lowery,"Oct 19, 2018  Wide","Jan 1, 2019",$11.1M,1h 33m,Fox Searchlight,,"Robert Redford,Casey Affleck,Sissy Spacek,Danny Glover,Tom Waits,Tika Sumpter,Ari Elizabeth Johnson,Teagan Johnson,Gene Jones,John David Washington,"
Hell Fest,39,40,67,500+,R (Language|Horror Violence|Some Sexual References),"Mystery & Thriller, Other, Horror",English,Gregory Plotkin,"Gale Anne Hurd, Tucker Tooley","Seth M. Sherwood, Blair Butler, Akela Cooper","Sep 28, 2018  Wide","Dec 18, 2018",$11.1M,1h 29m,"Lionsgate Films, CBS Films",,"Amy Forsyth,Reign Edwards,Bex Taylor-Klaus,Christian James,Roby Attal,Matthew Mercurio,Tony Todd,Courtney Dietz,Gregory Plotkin,Seth M. Sherwood,"
Five & Two Pictures,,,,,,,,,,,,,,,,,
Venom,30,81,359,"25,000+",PG-13 (Intense Sci-Fi Violence|Action|Language),"Action, Adventure, Sci-Fi, Fantasy",English,Ruben Fleischer,"Avi Arad, Matthew Tolmach, Amy Pascal","Jeff Pinkner, Scott Rosenberg, Kelly Marcel","Oct 5, 2018  Wide","Jun 18, 2019",$213.5M,1h 52m,"Columbia Pictures, Sony Pictures Entertainment",,"Tom Hardy,Michelle Williams,Riz Ahmed,Scott Haze,Reid Scott,Jenny Slate,Melora Walters,Woody Harrelson,Peggy Lu,Malcolm C. Murray,"
A Star Is Born,90,79,528,"10,000+",R (Some Sexuality/Nudity|Language Throughout|Substance Abuse),"Drama, Romance, Music",English,Bradley Cooper,"Bill Gerber, Jon Peters, Bradley Cooper, Todd Phillips, Lynette Howell Taylor","Eric Roth, Bradley Cooper, Will Fetters","Oct 5, 2018  Wide","Feb 19, 2019",$215.3M,2h 15m,Warner Bros. Pictures,,"Bradley Cooper,Lady Gaga,Sam Elliott,Andrew Dice Clay,Rafi Gavron,Anthony Ramos,Dave Chappelle,Alec Baldwin,Marlon Williams,Brandi Carlile,"
The Hate U Give,97,83,225,"2,500+",PG-13 (Language|Drug Material|Mature Thematic Elements|Some Violent Content),"Crime, Drama",English,George Tillman Jr.,"Robert Teitel, George Tillman Jr., Marty Bowen, Wyck Godfrey",Audrey Wells,"Oct 19, 2018  Wide","Jan 8, 2019",$29.6M,2h 13m,20th Century Fox,,"Amandla Stenberg,Regina Hall,Russell Hornsby,K.J. Apa,Anthony Mackie,Sabrina Carpenter,Common,Issa Rae,Lamar Johnson,Dominique Fishback,"
The Happy Prince,72,50,139,250+,R (Graphic Nudity|Brief Drug Use|Language|Sexual Content),"History, Lgbtq+, Biography, Drama",English,Rupert Everett,"Sébastien Delloye, Philipp Kreuzer, Jörg Schulze",Rupert Everett,"Oct 10, 2018  Limited","Feb 12, 2019",$464.5K,1h 45m,Sony Pictures Classics,,"Rupert Everett,Colin Firth,Emily Watson,Colin Morgan,Edwin Thomas,Tom Wilkinson,John Standing,Anna Chancellor,Julian Wadham,André Penvern,"
First Man,87,67,457,"5,000+",PG-13 (Peril|Brief Strong Language|Some Thematic Content),"History, Adventure, Biography, Drama",English,Damien Chazelle,"Wyck Godfrey, Marty Bowen, Isaac Klausner, Damien Chazelle",Josh Singer,"Oct 12, 2018  Wide","Jan 8, 2019",$44.8M,2h 21m,Universal Pictures,,"Ryan Gosling,Claire Foy,Jason Clarke,Kyle Chandler,Corey Stoll,Patrick Fugit,Christopher Abbott,Ciarán Hinds,Olivia Hamilton,Pablo Schreiber,"
Bad Times at the El Royale,74,73,256,"5,000+",R (Language|Brief Nudity|Some Drug Content|Strong Violence),"Mystery & Thriller, Crime, Drama",English,Drew Goddard,"Jeremy Latcham, Drew Goddard",Drew Goddard,"Oct 12, 2018  Wide","Dec 18, 2018",$17.8M,2h 21m,20th Century Fox,,"Jeff Bridges,Cynthia Erivo,Jon Hamm,Dakota Johnson,Cailee Spaeny,Lewis Pullman,Chris Hemsworth,Nick Offerman,Drew Goddard,Drew Goddard,"
Goosebumps 2: Haunted Halloween,47,36,95,"1,000+",PG (Rude Humor|Language|Scary Creature Action & Images|Some Thematic Elements),"Fantasy, Other, Adventure, Comedy",English,Ari Sandel,"Deborah A. Forte, Neal H. Moritz",Rob Lieber,"Oct 12, 2018  Wide","Dec 24, 2018",$46.7M,1h 30m,"Columbia Pictures, Sony Pictures Entertainment",,"Madison Iseman,Jeremy Ray Taylor,Wendi McLendon-Covey,Caleel Harris,Chris Parnell,Ken Jeong,Bryce Cass,Peyton Wich,Shari Headley,Christian Finlayson,"
Beautiful Boy,67,77,262,"2,500+",R (Drug Content Throughout|Brief Sexual Material|Language),"Biography, Drama",English,Felix van Groeningen,"Brad Pitt, Dede Gardner, Jeremy Kleiner","Luke Davies, Felix van Groeningen","Nov 2, 2018  Wide","Jan 4, 2019",$7.6M,1h 52m,Amazon Studios,,"Steve Carell,Timothée Chalamet,Maura Tierney,Amy Ryan,Timothy Hutton,Kaitlyn Dever,Andre Royo,LisaGay Hamilton,Felix van Groeningen,Luke Davies,"
The Oath,62,40,92,250+,R (Some Drug Use|Language Throughout|Violence),"Other, Comedy",English,Ike Barinholtz,"Sean McKittrick, Raymond Mansfield, Ike Barinholtz, David Stassen, Andrew C. Robinson",Ike Barinholtz,"Oct 12, 2018  Limited","Dec 28, 2018",$387.4K,1h 33m,Roadside Attractions,,"Ike Barinholtz,Tiffany Haddish,Nora Dunn,Chris Ellis,Jon Barinholtz,Meredith Hagner,Carrie Brownstein,Billy Magnussen,John Cho,Priah Ferguson,"
Gosnell: The Trial of America's Biggest Serial Killer,,,,,,,,,,,,,,,,,
After Everything,83,72,18,100+,,"Romance, Comedy",English,"Hannah Marks, Joey Power","Jordan Yale Levine, Jordan Beckerman, Michael J. Rothstein, Sean Glover","Hannah Marks, Joey Power","Oct 12, 2018  Limited","Oct 15, 2018",,1h 35m,Good Deed Entertainment,,"Maika Monroe,Jeremy Allen White,DeRon Horton,Marisa Tomei,Sasha Lane,Joe Keery,Gina Gershon,Dean Winters,Olivia Luccardi,Hannah Marks,"
Halloween,,,,,,,,,,,,,,,,,
Can You Ever Forgive Me?,98,81,320,"2,500+",R (Language|Brief Drug Use|Some Sexual References),"Lgbtq+, Biography, Drama, Comedy",English,Marielle Heller,"Anne Carey, Amy Nauiokas, David Yarnell","Nicole Holofcener, Jeff Whitty","Oct 19, 2018  Limited","Feb 5, 2019",$8.8M,1h 46m,Fox Searchlight,,"Melissa McCarthy,Richard E. Grant,Dolly Wells,Ben Falcone,Gregory Korostishevsky,Jane Curtin,Stephen Spinella,Christian Navarro,Pun Bandhu,Marc Evan Jackson,"
Mid90s,80,80,225,"2,500+",R (Drug and Alcohol Use|Disturbing Images|Pervasive Language|Sexual Content|Some Violent Behavior),"Drama, Comedy",English,Jonah Hill,"Scott Rudin, Eli Bush, Ken Kao, Jonah Hill, Lila Yacoub",Jonah Hill,"Oct 26, 2018  Wide","Dec 21, 2018",$7.4M,1h 24m,A24,,"Sunny Suljic,Lucas Hedges,Na-kel Smith,Gio Galicia,Ryder McLaughlin,Alexa Demie,Katherine Waterston,Olan Prenatt,Jonah Hill,Jonah Hill,"
Wildlife,94,72,216,"1,000+",PG-13 (Smoking|Brief Strong Language|A Sexual Situation|Thematic Material),Drama,English,Paul Dano,"Alex Saks, Paul Dano, Oren Moverman, Ann Ruark, Jake Gyllenhaal, Riva Marker, Andrew Duncan","Paul Dano, Zoe Kazan","Oct 19, 2018  Limited","Jan 9, 2019",$1.0M,1h 44m,IFC Films,,"Carey Mulligan,Jake Gyllenhaal,Ed Oxenbould,Bill Camp,Zoe Margaret Colletti,Travis W. Bruyer,Darryl Cox,Mollie Milligan,Paul Dano,Paul Dano,"
What They Had,87,82,120,500+,R (Language|A Brief Sexual Reference),Drama,English,Elizabeth Chomko,"Keith Kjarval, Bill Holderman, Albert Berger, Ron Yerxa, Alex Saks, Sefton Fincham, Tyler Jackson",Elizabeth Chomko,"Oct 19, 2018  Limited","Jan 8, 2019",$254.4K,1h 40m,Bleecker Street Media,,"Hilary Swank,Michael Shannon,Robert Forster,Blythe Danner,Taissa Farmiga,Josh Lucas,Sarah Sutherland,Marilyn Dodds Frank,Aimee Garcia,William Smillie,"
Hunter Killer,37,68,114,"1,000+",R (Violence and Some Language),"Mystery & Thriller, Action",English,Donovan Marsh,"Neal H. Moritz, Toby Jaffe, Alan Siegel, Gerard Butler, Tucker Tooley","Arne Schmidt, Jamie Moss","Oct 26, 2018  Wide","Jan 15, 2019",$15.7M,2h 1m,"Lionsgate Films, Summit Premiere",,"Gerard Butler,Gary Oldman,Common,Michael Nyqvist,Linda Cardellini,Zane Holtz,Caroline Goodall,Alexander Diachenko,Michael Gor,Yuri Kolokolnikov,"
Johnny English Strikes Again,37,50,109,"1,000+",PG (Language|Brief Nudity|Rude Humor|Some Action Violence),"Comedy, Adventure",English,David Kerr,"Chris Clark, Tim Bevan, Eric Fellner, Rowan Atkinson, Raphaël Benoliel",Will Davies,"Oct 26, 2018  Wide","Jan 8, 2019",$4.3M,1h 28m,Universal Pictures,,"Rowan Atkinson,Ben Miller,Emma Thompson,Olga Kurylenko,Jake Lacy,Miranda Hennessy,Adam James,Pippa Bennett-Warner,David Mumeni,Kendra Mei,"
Suspiria,65,65,331,"2,500+",R (Disturbing Content|Bloody Images|Some Language|Graphic Nudity|Ritualistic Violence|Sexual References),"Mystery & Thriller, Horror",English,Luca Guadagnino,"Luca Guadagnino, David Kajganich, Francesco Melzi d'Eril, Marco Morabito, Gabriele Moratti, William Sherak, Bradley J. Fischer, Silvia Venturini Fendi",David Kajganich,"Oct 26, 2018  Limited","Jan 15, 2019",$2.5M,2h 32m,Amazon Studios,,"Dakota Johnson,Tilda Swinton,Mia Goth,Angela Winkler,Ingrid Caven,Elena Fokina,Sylvie Testud,Renée Soutendijk,Chloë Grace Moretz,Jessica Harper,"
Indivisible,74,86,19,250+,PG-13 (Some Thematic Material|War Violence),"Drama, War",English,David G. Evans,"Darren Moorman, Justin Tolley","David G. Evans, Cheryl McKay, Peter White","Oct 26, 2018  Wide","Jan 29, 2019",$3.5M,1h 59m,"Provident Films, Pure Flix Entertainment",,"Justin Bruening,Sarah Drew,Jason George,Tia Mowry-Hardrict,Skye P. Marshall,Tanner Stine,Madeline Carroll,Eric Close,Michael O'Neill,Eddie Kaulukukui,"
Bullitt County,50,76,14,50+,,"Action, Drama, Mystery & Thriller",English,David McCracken,Josh Riedford,David McCracken,,"Feb 26, 2019",,1h 36m,,,"Mike C. Nelson,Jenni Melear,David McCracken,Napoleon Ryan,Dorothy Lyman,Richard Riehle,Alysia Livingston,Sam Kuban,Rita Hight,B.J. McCracken,"
Bohemian Rhapsody,60,85,412,"10,000+",PG-13 (Language|Drug Content|Suggestive Material|Thematic Elements),"History, Drama, Music, Lgbtq+, Biography",English,Bryan Singer,"Graham King, Jim Beach",Anthony McCarten,"Nov 2, 2018  Wide","Jan 22, 2019",$216.3M,2h 15m,20th Century Fox,,"Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy,Joseph Mazzello,Aidan Gillen,Tom Hollander,Allen Leech,Mike Myers,Aaron McCusker,"
The Nutcracker and the Four Realms,32,34,203,"1,000+",PG (Some Mild Peril),"Kids & Family, Other, Adventure, Fantasy",English,"Lasse Hallström, Joe Johnston","Mark Gordon, Larry J. Franco",Ashleigh Powell,"Nov 2, 2018  Wide","Jan 29, 2019",$54.8M,1h 39m,Walt Disney,,"Keira Knightley,Mackenzie Foy,Dame Helen Mirren,Morgan Freeman,Eugenio Derbez,Richard E. Grant,Jayden Fowora-Knight,Matthew McFadyen,Anna Madeley,Ellie Bamber,"
Nobody's Fool,26,36,43,500+,R (Language Throughout|Drug Material|Sexual Content),"Romance, Comedy",English,Tyler Perry,"Mark E. Swinton, Will Areu",Tyler Perry,"Nov 2, 2018  Wide","Feb 12, 2019",$31.7M,1h 50m,Paramount Pictures,,"Tiffany Haddish,Tika Sumpter,Omari Hardwick,Whoopi Goldberg,Amber Riley,Mehcad Brooks,Missi Pyle,Jonathan Rudnitsky,Yaniv Schulman,Max Joseph,"
Boy Erased,80,74,266,"2,500+",R (Brief Drug Use|An Assault|Sexual Content|Some Language),"Lgbtq+, Biography, Drama",English,Joel Edgerton,"Kerry Kohansky-Roberts, Steve Golin, Joel Edgerton",Joel Edgerton,"Nov 16, 2018  Wide","Jan 15, 2019",$6.7M,1h 55m,Focus Features,,"Lucas Hedges,Nicole Kidman,Joel Edgerton,Russell Crowe,Flea,Joe Alwyn,Xavier Dolan,Troye Sivan,Britton Sear,Jesse LaTourette,"
A Private War,88,63,145,"1,000+",R (Disturbing Violent Images|Brief Sexuality/Nudity|Language Throughout),"War, Biography, Drama",English,Matthew Heineman,"Basil Iwanyk, Marissa McMahon, Matthew George, Matthew Heineman, Charlize Theron",Arash Amel,"Nov 16, 2018  Wide","Feb 5, 2019",$1.6M,1h 50m,Aviron Pictures,,"Rosamund Pike,Jamie Dornan,Tom Hollander,Stanley Tucci,Jérémie Laheurte,Hilton McRae,Fady Elsayed,Raad Rawi,Matthew Heineman,Arash Amel,"
