filem_name,tomatometerscore,audiencescore,reviews_numb,ratings_numb,rating,genre,language,director,producer,writer,release_date_theaters,release_date_streaming,box_office,runtime,distributor,aspect_ratio,actors
The Assistant,92,25,236,100+,R (Some Language),Drama,English,Kitty Green,"James Schamus, Scott Macaulay, P. Jennifer Dana",Kitty Green,"Jan 31, 2020  Limited","Apr 28, 2020",$1.1M,1h 27m,Bleecker Street Media,,"Julia Garner,Matthew Macfayden,Makenzie Leigh,Juliana Canfield,Lou Martini Jr.,Noah Robbins,Dagmara Dominczyk,Kristine Froseth,Alexander Chaplin,Clara Wong,"
Birds of Prey,,,,,,,,,,,,,,,,,
The Lodge,74,51,176,250+,R (Language and Brief Nudity|Disturbing Violence|Some Bloody Images),"Mystery & Thriller, Horror",English,"Veronika Franz, Severin Fiala","Simon Oakes, Aaron Ryder, Aliza James","Sergio Casci, Veronika Franz, Severin Fiala","Feb 7, 2020  Limited","May 3, 2020",$2.1M,1h 48m,Neon,,"Riley Keough,Jaeden Martell,Lia McHugh,Richard Armitage,Alicia Silverstone,Katelyn Wells,Dan Keough,Lola Reid,Veronika Franz,Severin Fiala,"
Horse Girl,71,47,58,500+,R (Some Sexuality|Drug Use|Language|Graphic Nudity),"Drama, Comedy",English,Jeff Baena,"Jeff Baena, Alison Brie, Alana Carithers, Mel Eslyn","Jeff Baena, Alison Brie",,"Feb 7, 2020",,1h 44m,,,"Alison Brie,Debby Ryan,John Reynolds,Molly Shannon,John Ortiz,Paul Reiser,Jeff Baena,Jeff Baena,Alison Brie,Jay Duplass,"
Sonic the Hedgehog,63,93,244,"10,000+",PG (Brief Mild Language|Action|Rude Humor|Some Violence),"Kids & Family, Adventure, Fantasy, Comedy",English,Jeff Fowler,"Neal H. Moritz, Toby Ascher, Toru Nakahara, Takeshi Ito","Pat Casey, Worm Miller","Feb 14, 2020  Wide","Mar 31, 2020",$146.7M,1h 40m,Paramount Pictures,,"James Marsden,Jim Carrey,Ben Schwartz,Tika Sumpter,Natasha Rothwell,Adam Pally,Lee Majdoub,Neal McDonough,Frank C. Turner,Tom Butler,"
Fantasy Island,,,,,,,,,,,,,,,,,
The Photograph,75,81,111,"5,000+",PG-13 (Sexuality|Brief Strong Language),"Drama, Romance",English,Stella Meghie,"Will Packer, James Lopez",Stella Meghie,"Feb 14, 2020  Wide","Apr 28, 2020",$20.6M,1h 46m,Universal Pictures,,
Downhill,38,14,207,"1,000+",R (Some Sexual Material|Language),"Drama, Comedy",English,"Nat Faxon, Jim Rash","Anthony Bregman, Julia Louis-Dreyfus, Stefanie Azpiazu","Jesse Armstrong, Nat Faxon, Jim Rash","Feb 14, 2020  Wide","Mar 27, 2020",$8.3M,1h 25m,Searchlight Pictures,,"Will Ferrell,Julia Louis-Dreyfus,Zach Woods,Zoe Chao,Miranda Otto,Julian Grey,Ammon Jacob Ford,Kristofer Hivju,Giulio Berruti,Nadiv Molcho,"
Spy Intervention,33,41,6,Fewer,,"Adventure, Comedy",English,Drew Mylrea,"Ryan R. Johnson, Sunil Perkash, Martin Sprock, Akaash Yadav","Mark Famiglietti, Lane Garrison","Feb 14, 2020  Limited","Feb 14, 2020",,1h 33m,Cinedigm,,"Drew Van Acker,Poppy Delevingne,Natasha Bassett,Max Silvestri,Brittany Furlan,Blake Anderson,Dave Sheridan,Lane Garrison,Brian Sacca,Ken Holmes,"
The Kindness of Strangers,31,65,36,50+,,Drama,English,Lone Scherfig,"Malene Blenkov, Sandra Cunningham",Lone Scherfig,"Dec 6, 2019  Limited","Feb 14, 2020",,1h 52m,E1 Entertainment,,"Jay Baruchel,Zoe Kazan,Andrea Riseborough,Bill Nighy,Caleb Landry Jones,Tahar Rahim,Angela Thompson,David Dencik,Esben Smed,Lone Scherfig,"
The Call of the Wild,62,89,206,"5,000+",PG (Peril|Mild Language|Some Violence|Thematic Elements),"Adventure, Drama",English,Christopher Sanders,Erwin Stoff,Michael Green,"Feb 21, 2020  Wide","Mar 27, 2020",$62.1M,1h 40m,20th Century Studios,,"Harrison Ford,Omar Sy,Cara Gee,Karen Gillan,Dan Stevens,Bradley Whitford,Colin Woodell,Scott MacDonald,Michael Horse,Jean Louisa Kelly,"
The Last Thing He Wanted,,,,,,,,,,,,,,,,,
Brahms: The Boy II,11,44,57,"1,000+",PG-13 (Terror|Disturbing Images|Thematic Elements|Violence),"Mystery & Thriller, Horror",English,William Brent Bell,"Tom Rosenberg, Gary Lucchesi, Richard S. Wright, Eric Reid, Jim Wedaa, Roy Lee, Matt Berenson",Stacey Menear,"Feb 21, 2020  Wide","Apr 3, 2020",$12.6M,1h 26m,STX Films,,"Katie Holmes,Owain Yeoman,Christopher Convery,Ralph Ineson,Oliver Rice,Natalie Moon,Anjali Jay,Joely Collins,William Brent Bell,Stacey Menear,"
The Night Clerk,36,32,45,250+,R (Some Sexual References|Language|Brief Nudity|Violent Images),Mystery & Thriller,English,Michael Cristofer,"Arianne Fraser, David M. Wulf",Michael Cristofer,"Feb 21, 2020  Limited","Feb 21, 2020",,1h 30m,Saban Films,,"Tye Sheridan,Ana de Armas,John Leguizamo,Helen Hunt,Johnathon Schaech,Jacque Gray,Pam Eichner,D.L. Walker,Michael Cristofer,Michael Cristofer,"
